q,que,kb_ids,new_refer,actual_send_answer,qwl02-cleaned-base,qwl02-cleaned-base-gpt35,qwl02-cleaned-chat,qwl02-cleaned-chat-gpt35,qwl02-cleaneddoc3,qwl02-cleaneddoc3-gpt35,qwl02-cleaneddoc8,qwl02-cleaneddoc8-gpt35,qwl02-cleandoc8-base,qwl02-cleandoc8-base_gpt35,qwl02-cleandoc8-base-pip3,qwl02-cleandoc8-base-pip3_gpt35,yil02-cleandoc-base,yil02-cleandoc-Chat-34B,yil02-cleandoc-Chat-34B_gpt35,qwl02,qwl02_gpt35,qwl02-cleaneddoc8-32b-base,qwl02-cleaneddoc8-32b-base_gpt35,qwl02-cleaneddoc8-32b-base-new,qwl02-cleaneddoc13-32b-base,qwl02-cleaneddoc18-32b-base,qwl02-cleaneddoc18-32b-base-cp12000,qwl02-cleaneddoc18-32b-base-cp15000,qwl02-cleaneddoc18-32b-base-cp18000
投保人购买了什么保险？,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：经审理查明:2016年9月19日,李3向华安财险安徽分公司投保个人短期贷款履约保证保险,保险金额为218047.39元,被保险人为网商银行,保险费为17443.79元,承保期限为12个月,自贷款发放之日起计算保险单特别约定:保险人履行赔偿责任后,投保人应及时向保险人返还保险人代偿的全部金额,否则,投保人需以欠款为基数,自理赔日起按每日万分之五的标准向保险人支付违约金同时,邵4向华安财险安徽分公司出具连带责任担保书,自愿为李3保险合同项下承担的还款责任承担连带责任保证担保,担保范围包括投保人未偿还贷款人的全部款项、保险人赔付给贷款人的全部保险赔款(含本金和利息)、投保人应向保险人支付的违约金李3于2016年9月19日从网商银行贷出20万元,贷款期限为12个月,按月等额本息还款,李3授权网商银行直接从其支付宝账户扣划还款李3自2017年8月19日开始逾期还款,华安财险安徽分公司于2017年11月10日为李3代偿借款本金34315.08元、利息310.57元、罚息678.23元,合计35303.88元为向李3、邵4追偿,华安财险安徽分公司诉至本院,要求判如所请

你要回复的问题是:",个人短期贷款履约保证保险,个人短期贷款履约保证保险,1,个人短期贷款保证保险,1,个人短期贷款履约保证保险,1,个人短期贷款履约保证保险,1,个人短期贷款履约保证保险,1,个人短期贷款履约保证保险,1,2014年1月14日20时10000元1月14日20时10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,个人短期贷款履约保证保险,1,个人短期贷款履约保证保险,1,个人短期贷款履约保证保险,1,个人短期贷款履约保证保险,个人短期贷款履约保证保险,个人短期贷款履约保证保险,个人短期贷款履约保证保险,个人短期贷款履约保证保险,个人短期贷款履约保证保险
目前世界上最好的武装直升机是什么时候推出EXINT载人吊舱？。,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：这些武装直升机把自己变成了战场出租车。（图源：航空学家网站）◎美国海军陆战队AH-1“眼镜蛇”武装直升机搭载特战队员执行任务，这名特种兵和飞行员一定是拜把子兄弟，不然不会这么大胆。头上有旋翼，左手边是机炮转塔，右手边是“地狱火”导弹，武器操纵员手一滑这战场出租车可就成死亡出租车了。◎英国陆军“长弓阿帕奇”武装直升机的载人吊舱相对来说就比较舒服了，这是英国国防评估和研究机构在上世纪90年代推出EXINT载人吊舱，也是目前唯一一款实用型的直升机用载人吊舱，英国人在试验中用过，但没有证据显示这款载人吊舱在实战中投入使用，2009年英国皇家海军陆战队在阿富汗紧急撤离时也未使用载人吊舱，而是直接坐在“阿帕奇”武装直升机的主起落架上撤离的。◎载人吊舱内部空间剖视图，可见其空间长度还算充裕，高度就“捉襟见肘”了。按照英国人的设想，载人吊舱可以开发多种型号，如搭载特战队员的特战吊舱、运送蛙人的蛙人吊舱以及空运地勤人员的空勤吊舱，在实际操作中可按任务需要配用不同类型的吊舱，实现快速投送或野战机场快速部署。

你要回复的问题是:",上世纪90年代推出EXINT载人吊舱,1990,1,上世纪90年代,1,上世纪90年代,1,在上世纪90年代推出EXINT载人吊舱,1,英国国防评估和研究机构在上世纪90年代,1,上世纪90年代推出EXINT载人吊舱,1,“1000年10月11日，0000年10月20日，0000年10月20日，0000年10月20日，0000年10月3日，0000年10月3日，0000年10月3日，0000年10月3日，0000年10月3日，0000年10月3日，0000年10月3日，00,在上世纪90年代推出EXINT载人吊舱,1,上世纪90年代,1,英国国防评估和研究机构在上世纪90年代推出EXINT载人吊舱,1,英国国防评估和研究机构在上世纪90年代推出EXINT载人吊舱,英国国防评估和研究机构在上世纪90年代推出EXINT载人吊舱,上世纪90年代推出EXINT载人吊舱,上世纪90年代推出EXINT载人吊舱,上世纪90年代推出EXINT载人吊舱,上世纪90年代推出EXINT载人吊舱
杜鲁门发表「韩战声明」的目的是?,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：中华民国与日本于1952年4月28日在台北另行签订一份和约，和约中第二条规定：兹承认依照1951年9月8日在美国旧金山市签订之对日本和平条约，日本业已放弃台湾、澎湖群岛之一切权利、权限和请求权，1952年中华民国外交部长叶公超向立法院解释这个条款时表示，旧金山和约「并未规定把这些岛屿归还给中华民国，有立法委员问：「台湾和澎湖群岛的地位是什么？」叶公超回答说：「事实上，这两个地方正由我们控制．然而微妙的国际形势使得它们不属于我们．在现行情况下，日本没有权利把台湾和澎湖群岛转移给我们，即使日本有意如此，我们也不能接受。」。韩战于1950年6月25日爆发，为了坚守西太平洋的反共防线，美国政府一改先前的消极态度—杜鲁门于两天后发表「韩战声明」，除了宣布台湾海峡中立化，派遣第七舰队协防台海外，同时表示：「福尔摩沙若遭共产势力占领，将会对太平洋区域及美国于此区之维和势力造成直接威胁，福尔摩沙未来的地位，必须等待太平洋地区的安全恢复，以及对日本的和平条约成立，或经过联合国讨论后，再作决定。」此即台湾地位未定论的起源。

你要回复的问题是:",为了坚守西太平洋的反共防线,为了坚守西太平洋的反共防线,1,坚守西太平洋的反共防线,1,为了坚守西太平洋的反共防线,1,除了宣布台湾海峡中立化，派遣第七舰队协防台海外，同时表示,0,为了坚守西太平洋的反共防线,1,为了坚守西太平洋的反共防线,1,"““英国人”号”号》》，以及中国、中国、法国人》》的地区，比如盎格鲁路德天主教会的成员，支持这一教义。
《这些政府、法国和法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国、法国和教、法国、法国、",除了宣布台湾海峡中立化，派遣第七舰队协防台海外，同时表示,0,坚守西太平洋的反共防线,1,为了坚守西太平洋的反共防线,1,为了坚守西太平洋的反共防线,为了坚守西太平洋的反共防线,为了坚守西太平洋的反共防线,为了坚守西太平洋的反共防线,为了坚守西太平洋的反共防线,为了坚守西太平洋的反共防线
空腹时会产生哪些症状？,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：空腹时：会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。不常喝茶的人，尤其是清晨空腹喝茶，更容易出现上述症状。这被称为茶醉，一旦出现茶醉现象，可以口含糖果或喝些糖水来缓解。相对年轻人来说，老人的肠胃更为脆弱，患胃、十二指肠溃疡的中老年人更不宜空腹饮茶，尤其是浓茶。因为过多的鞣酸会刺激胃肠黏膜，从而导致病情加重，有的还会引起消化不良或便秘。喝醉时：茶叶有兴奋神经中枢的作用，醉酒后喝浓茶会加重心脏负担。对心肾功能较差的老人来说，酒后尤其不能饮大量的浓茶；可采用进食大量水果或小口饮醋等方法，以加快人体的新陈代谢速度，使酒醉缓解。睡觉前：茶中的物质，被人体吸收后，对中枢神经系统有明显的兴奋作用，饮茶会使精神兴奋，影响睡眠，甚至导致失眠，尤其是新采的绿茶，作用更明显。并且茶有利尿作用，老人睡前饮茶还容易夜间尿频，影响睡眠质量。服药期：有些患慢性病的老人需要长期服药，很多药物服用期间不宜喝茶。比如镇静助眠药物、抗心律失常药物等。茶碱可降低一些药物的镇痛作用，因此，服用镇痛药物时也不宜喝茶。

你要回复的问题是:",会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,心慌、头昏、手脚无力、心神恍惚等,1,心慌、头昏、手脚无力、心神恍惚等,1,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,1,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,1,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,1,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,1,"每天吃，可吃，可吃，导致睡眠，导致睡眠。
有导致睡眠，导致睡眠，导致睡眠，导致睡眠，导致睡眠。
有有身体，导致身体，导致身体，导致身体，导致睡眠。
有，导致睡眠，导致睡眠，导致身体。
，有吃，导致身体，导致身体。
，导致身体，导致身体，导致身体。
，导致身体，导致身体，导致身体。
，导致身体，导致身体，导致身体。
，导致身体，导致身体，导致身体。
，导致身体，导致身体，导致身体。",会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,1,亲，空腹时可能会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,1,心慌、头昏、手脚无力、心神恍惚等。,1,空腹时：会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。,如心慌、头昏、手脚无力、心神恍惚等。,会使某些人产生亢进的症状，如心慌、头昏、手脚无力、心神恍惚等。
被告人柏某某酒驾后在哪被抓？,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：经审理查明：关于危险驾驶事实2014年6月12日21时5分许，被告人柏某某酒后驾驶无号牌山洋牌燃油助力车行至广德县桃州镇清洁路路段处，被广德县公安局交通管理大队民警当场抓获。被告人柏某某驾驶的燃油助力车经安徽皖江司法鉴定所鉴定，属机动车类两轮普通摩托车；被告人柏某某血液乙醇含量经安徽省芜湖市疾病预防控制中心鉴定为139mg／100ml，属于醉酒后驾驶机动车。

你要回复的问题是:",广德县桃州镇清洁路路段处,广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,1,"2015年10月20日10时100ml/10分许。
2015年1月24日/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,1,广德县桃州镇清洁路路段处,广德县桃州镇清洁路路段处,广德县桃州镇清洁路路段处,广德县桃州镇清洁路路段处,广德县桃州镇清洁路路段处,广德县桃州镇清洁路路段处
挪威武装部队用以替换现役MP5式的单兵自卫武器，其可选择什么方式发射呢？。,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：世界三款最小口径冲锋枪鉴赏，德国制造MP7仅为4.6毫米口径。由于枪身短小，所以也适用于室内近身作战及要员保护。MP7与G36、UMP同样大量采用塑料作为枪身主要材料，瞄准方式则采用折叠式的准星照门，不过也于上机匣装上了标准的M1913导轨，允许使用者自行加装各式瞄具。MP7可选择单发或全自动发射，弹匣释放钮设计与HKUSP相似，可选配20发容量短弹匣或40发容量长弹匣，也有30发容量弹匣。此外，为MP7特制的消声器不会因为枪支经消声而降低其精确度、贯穿力及射速。全枪只由三颗销钉固定，射手只需用枪弹作为工具就可以完成MP7的大部分分解，较MP5及UMP容易。

你要回复的问题是:",可选择单发或全自动发射,单发或全自动,1,可以的,1,可选择单发或全自动发射,1,可选择单发或全自动发射,1,可选择单发或全自动发射,1,可选择单发或全自动发射,1,0000年1.2毫米榴弹炮，0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,可选择单发或全自动发射,1,半自动和全自动,1,可选择单发或全自动发射,1,可选择单发或全自动发射,可选择单发或全自动发射,可选择单发或全自动发射,可选择单发或全自动发射,可选择单发或全自动发射,可选择单发或全自动发射
化学合成的分子量损失是多少？,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：随着药物化学的发展，现代抗菌药物大多是各种天然化合物的半合成修饰。例如，这些抗生素包括β-内酰胺类抗生素，其中包括青霉素（由青霉属真菌产生）、头孢菌素和碳青霉烯类抗生素。仍然从活生物体中分离出来的化合物是氨基糖苷类，而其他抗菌药物，例如磺胺类、喹诺酮类和恶唑烷酮，则是通过化学合成来生产的。许多抗菌化合物是相对较小的分子，分子量小于2000个原子质量单位。[需要引用]

你要回复的问题是:",它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,这个不清楚哈,0,不清楚哈亲,0,首先为客户提供最好的体验，让他们自己做决定,0,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,1,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,1,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,1,“1950年10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,1,亲，化学合成的分子量损失是无法确定的，因为这取决于合成方法和反应条件。,0,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,1,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程,它是在教育的目的是“帮助一个人成为整体”的假设下，用来理解和评价教育课程
杨x10向11x0借的钱还款期限是什么时候？,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：根据当事人陈述和经审查确认的证据,本院认定事实如下:杨x10于2011年9月29日、2012年8月3日向11x0借款4.1万元、5.3万元,并均于借款当日向11x0出具了借条其中,2011年9月29日的借条对借款期限及利息均未作出约定,2013年8月3日的借条对还款期限作出了约定,约定在2012年11月3日前还清,对利息未作约定2016年年底杨x10去世,姜x0于2017年9月6日起诉至法院,要求舒x1、杨x2、杨x3、杨x4偿还杨x10所欠借款另查明,舒x1系杨x10之妻,杨x2系杨x10长子,杨x3系杨x10次子,杨x4系杨x10之女舒x1、杨x2、杨x3、杨x4均系杨x10的法定继承人

你要回复的问题是:",2012年11月3日,2012年11月3日还清,1,2012年11月3日前还清,1,2012年11月3日前,1,在2012年11月3日前还清,1,2012年11月3日,1,2012年11月3日前,1,2014年1月14日2时时时时时时100000元10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,在2012年11月3日前还清,1,2012年11月3日前还清,1,在2012年11月3日前还清,1,在2012年11月3日前还清,在2012年11月3日前还清,2012年11月3日前还清,2012年11月3日前还清,2012年11月3日前还清,2012年11月3日前还清
梦幻西游174升175要多少经验,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：梦幻西游里155级-175级升级需要7932840566经验，其中155级-165级需1127228104经验，165级-170级需1147888154经验，170级-175级需要5657724298经验

楼主160-164是需要678172688经验
　　155级-156级:85308968

　　156级-157级:87517159

　　157级-158级:59767944

　　158级-159级:92061872

　　159级-160级:94399488

　　160级-161级:129041783

　　161级-162级:132277315

　　162级-163级:135573313

　　163级-164级:138930533

　　164级-165级:142349724

　　165级-166级:218747456

　　166级-167级:224065576

　　167级-168级:229480080

　　168级-169级:234992137

　　169级-170级:240602904

　　170级-171级:533679362

　　171级-172级:819407100

　　172级-173级:1118169947

　　173级-174级:1430306664

　　174级-175级:1756161225


给分啊 算经验好累的

你要回复的问题是:",174级-175级:1756161225,174级-175级需要5657724298经验,0,亲，174级-175级需要5657724298经验哦~,0,174级-175级:1756161225,1,174级-175级:1756161225,1,174级-175级:1756161225,1,174级-175级需要5657724298经验,0,2.14.14.120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"174级-175级:1756161225

给分啊 算经验好累的",1,亲，梦幻西游174级-175级需要1756161225经验哦~,1,1756161225,1,1756161225,174级-175级:1756161225,174级-175级:1756161225,梦幻西游里155级-175级升级需要7932840566经验,174级-175级:1756161225,174级-175级:1756161225
"中国第一颗原子弹在那一天引爆,震惊了世界?",[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：自从党带领着人民打败了外国侵略者之后,我们的祖国正在飞速发展之中,然而有些外国人还是瞧不起我们,于是,许多爱国志士便都投入了祖国的建设事业中.<e>邓稼先这个名字大家一定都很熟悉吧!它就是原子弹和氢弹的研究者.1958年8月,在外国留学的邓稼先谢绝了导师的挽留,怀着一颗滚烫的赤子之心踏上了归途,回到了新中国.但是,外国已研究出了非常先进的核武器,而在这方面,中国仍旧就是一个空白.1958年党中央决定研制中国自己的核武器——原子弹.这时,邓稼先站了出来,他毅然接受了研究原子弹的任务,当时,研究核弹的工作是非常危险的,但邓稼先决定要为国捐躯.1964年10月16日,随着一声巨大的轰鸣,一朵无比壮美的蘑菇云升上了天空,中国的第一颗原子弹在罗布泊的山空爆炸成功.1967年6月17日,在罗布泊的上空,中国的第一颗氢弹又成功地爆炸了.全世界震惊了!喜讯迅速传遍了长城内外,大江南北,这不朽的功绩使中国人扬眉吐气.

你要回复的问题是:",1964年10月16日,1964年10月16日,1,1964年10月16日,1,1964年10月16日,1,1964年10月16日,1,1964年10月16日,1,1964年10月16日,1,2014年1月16日/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1964年10月16日,1,"1964年10月16日,随着一声巨大的轰鸣,一朵无比壮美的蘑菇云升上了天空,中国的第一颗原子弹在罗布泊的山空爆炸成功.",1,1964年10月16日,1,1964年10月16日,1964年10月16日,1964年10月16日,1964年10月16日,1964年10月16日,1964年10月16日
韩国的K11单兵作战系统主要包括什么？。,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：引领枪械发展新趋势的K11步枪 只是因为高成本而无法大量装备吗。在紧急情况下，可以不安装观瞄装置，直接手动设定榴弹火控数据进行作战。韩国的这一款多功能步枪采用了旋转后拉枪机结构，不过依然保留了一个榴弹弹匣，火控与观瞄装置合一，外观上这款枪的全枪结构显得有些过大。韩国的K11单兵作战系统主要包括半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪。韩国的K11单兵战斗系统配备有一体化激光测距仪的顶置计算机辅助瞄准系统，以及热红外夜视仪。其有效射程为460米～500米。

你要回复的问题是:",半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪。,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪。,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,1,2000年10月6日/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪。,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,1,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪,半自动20毫米榴弹发射器，可发射北约制式5.56毫米枪弹的枪挂突击卡宾枪
基地驱逐舰协议做了什么？,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：1940年5月，美国向英国要求在百慕大拥有基本权利，但英国首相丘吉尔最初不愿意接受美国的要求，却得不到回报。1940年9月，作为基地驱逐舰协议的一部分，英国授予美国在百慕大的基地权利。百慕大和纽芬兰最初并不包括在协议中，但这两个国家都加入了协议，英国没有收到任何战争材料作为交换。协议的一项条款是，美军修建的机场将由美国和英国共同使用（这是在战争期间，英国皇家空军运输司令部于1943年从达雷尔岛迁往那里）。

你要回复的问题是:",授予美国在百慕大的基地权利,英国授予美国在百慕大的基地权利,1,1940年9月，作为基地驱逐舰协议的一部分，英国授予美国在百慕大的基地权利。百慕大和纽芬兰最初并不包括在协议中，但这两个国家都加入了协议，英国没有收到任何战争材料作为交换。协议的一项条款是，美军修建的机场将由美国和英国共同使用（这是在战争期间，英国皇家空军运输司令部于1943年从达雷尔岛迁往那里）。,1,英国授予美国在百慕大的基地权利,1,英国授予美国在百慕大的基地权利,1,英国授予美国在百慕大的基地权利,1,英国授予美国在百慕大的基地权利,1,"“老英国人”无视警告，比如盎格鲁路德天主教会的成员，支持这一教义。
然而，许多CDJ和DJ的进步，如DJ软件和时间编码乙烯基，现在有这些能力和更多。”的策略，比如盎格鲁路德天主教会的成员，支持这一教义。”的更多。",英国授予美国在百慕大的基地权利,1,美国建造驱逐舰并运送它们到英国，以换取英国皇家海军的基地权利。,0,英国授予美国在百慕大的基地权利,1,英国授予美国在百慕大的基地权利,英国授予美国在百慕大的基地权利,授予美国在百慕大的基地权利,作为基地驱逐舰协议的一部分，英国授予美国在百慕大的基地权利,授予美国在百慕大的基地权利,授予美国在百慕大的基地权利
被告人齐2某等人以什么名义从银行承兑汇票并进行变造？,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：经审理查明：（一）票据诈骗犯罪2013年5、6月间，被告人齐2某伙同韩2某韩XX、刘某刘XX（均另案处理）共谋后，以黑龙江帅亿新能源开发有限公司名义从建设银行哈龙支行开具银行承兑汇票并进行变造。后齐2某将变造的票面金额为300万某、480万某银行承兑汇票交给田某田XX，田某田XX虚构背书人以全额质押方式从中信银行兰州东岗支行分别骗取银行兰州某支行分别骗取银行贷款300万某和480万某，齐2某交给韩2某韩XX160万某。案发后，兰州市公安局查封了齐2某位于安宁区十里店北滨河西路57号2单元601室及61号3单元102室的两套房产，扣押齐2某甘A-NS588白色宝马车一辆、现金10000元。

你要回复的问题是:",以黑龙江帅亿新能源开发有限公司名义,以黑龙江帅亿新能源开发有限公司名义,1,以黑龙江帅亿新能源开发有限公司名义,1,以黑龙江帅亿新能源开发有限公司名义,1,以黑龙江帅亿新能源开发有限公司名义,1,以黑龙江帅亿新能源开发有限公司名义,1,以黑龙江帅亿新能源开发有限公司名义,1,2015年10月20日10时1000元10时1000元10000元10000元10000元10000元100000元10000ml1000000000000000000000000000000000000000000000000000000000000000,黑龙江帅亿新能源开发有限公司,1,以黑龙江帅亿新能源开发有限公司名义,1,黑龙江帅亿新能源开发有限公司,1,以黑龙江帅亿新能源开发有限公司名义,黑龙江帅亿新能源开发有限公司,黑龙江帅亿新能源开发有限公司,黑龙江帅亿新能源开发有限公司,黑龙江帅亿新能源开发有限公司,黑龙江帅亿新能源开发有限公司
凤凰古城在哪里,[],0,"你是一名电商人工客服,现在不是工作时间不要求你用客服语气说话,只是考验你从文档中抽取信息的能力,请你通过分析文档内容后精简的回答问题。
 以下是供你参考的已知信息：凤凰古城,位于湖南省湘西土家族苗族自治州的西南部凤凰县,土地总面积约10平方千米。2010年底约5万人口,由苗族、汉族、土家族等28个民族组成,为典型的少数民族聚居区。 凤凰古城,是国家历史文化名城,首批中国旅游强县,国家AAAA级景区,湖南省湘西土家族苗族自治州所辖八县市之一。建于清康熙四十三年〔1704年〕。2001年被授予国家历史文化名城称号,湖南十大文化遗产之一。曾被新西兰著名作家路易·艾黎称赞为中国最美丽的小城,与云南丽江古城、山西平遥古城媲美,享有“北平遥,南凤凰”之美誉。 距铜仁凤凰机场27公里,张家界荷花国际机场280公里;G209国道,S308省道贯穿全境,枝柳铁路穿境而过,交通便利快捷。

你要回复的问题是:","凤凰古城,位于湖南省湘西土家族苗族自治州的西南部凤凰县",亲，凤凰古城位于湖南省湘西土家族苗族自治州的西南部凤凰县，是一个美丽的旅游胜地哦。,1,亲，凤凰古城位于湖南省湘西土家族苗族自治州的西南部凤凰县哦~,1,位于湖南省湘西土家族苗族自治州的西南部凤凰县,1,位于湖南省湘西土家族苗族自治州的西南部凤凰县,1,",位于湖南省湘西土家族苗族自治州的西南部凤凰县,土地总面积约10平方千米。",1,",位于湖南省湘西土家族苗族自治州的西南部凤凰县,土地总面积约10平方千米。",1,2014年1月24日/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"位于湖南省湘西土家族苗族自治州的西南部凤凰县,土地总面积约10平方千米。",1,亲，凤凰古城位于湖南省湘西土家族苗族自治州的西南部凤凰县哦~,1,位于湖南省湘西土家族苗族自治州的西南部凤凰县,1,位于湖南省湘西土家族苗族自治州的西南部凤凰县,湖南省湘西土家族苗族自治州的西南部凤凰县,位于湖南省湘西土家族苗族自治州的西南部凤凰县,位于湖南省湘西土家族苗族自治州的西南部凤凰县,位于湖南省湘西土家族苗族自治州的西南部凤凰县,位于湖南省湘西土家族苗族自治州的西南部凤凰县
