,q,que,ai_answer,actual_send_answer,kb_ids,new_refer
261,很多出破损,"[{""role"":""user"",""content"":""你好""},{""role"":""user"",""content"":""肠衣很多破了的""},{""role"":""assistant"",""content"":""亲,天然肠衣难免会有破损,但放心都是安全的哦。您可以在破损处打结使用,不影响正常使用哦。""},{""role"":""user"",""content"":""很多出破损""}]","亲,天然肠衣难免会有破损,但放心都是安全的哦。您可以在破损处打结使用,不影响正常使用哦。","天然猪小肠衣,本身就有透气性,而且是人工从猪小肠子上剥离的,在剥离的过程中,难免会有破损的,可以在破损处打结。","22, 23","['问题：""这次刚用2根，上面就很多破了的多出破损"", 答案：""确实抱歉给您带来不便了哈。给您补1元可以吗亲""', '问题：""坏的多不多破的"", 答案：""天然肠衣，不敢保证没有孔，因为是人工从猪肠子上剥离的，在剥离的过程中，难免会有破损的亲。""', '问题：""破的比较多这次都是小孔"", 答案：""天然肠衣，不敢保证没有孔，因为是人工从猪肠子上剥离的，在剥离的过程中，难免会有破损的亲。""', '问题：""好多烂的破洞"", 答案：""天然肠衣，不敢保证没有孔，因为是人工从猪肠子上剥离的，在剥离的过程中，难免会有破损的亲。""', '问题：""好多都破了，刚才看了一袋几乎没根都有破的地方"", 答案：""拍照这边看下亲""']"
262,你好肠衣很多破了的,"[{""role"":""user"",""content"":""你好""},{""role"":""assistant"",""content"":""您好,我是客服小A,有什么可以帮您的吗？""},{""role"":""user"",""content"":""请问快递包装是什么样的""},{""role"":""assistant"",""content"":""亲这个不清楚哈仓库那边发货的""},{""role"":""user"",""content"":""你好""},{""role"":""user"",""content"":""你好肠衣很多破了的""}]","亲,天然肠衣难免会有破损,但放心都是安全的哦。您可以在破损处打结使用,不影响正常使用哦。","亲,天然肠衣难免会有破损,但放心都是安全的哦。您可以在破损处打结使用,不影响正常使用哦。","22, 23","['问题：""谢谢，就是肠衣有好多破洞的"", 答案：""天然肠衣，不敢保证没有孔，因为是人工从猪肠子上剥离的，在剥离的过程中，难免会有破损的亲，可以在破损处打结哦。天然肠衣，不敢保证没有孔，因为是人工从猪肠子上剥离的，在剥离的过程中，难免会有破损的亲""', '问题：""肠衣好多破的而且很容易破"", 答案：""亲 拍照看下哦""', '问题：""你好，请问你家的肠衣大多吗"", 答案：""猪肠衣口径3.8-4.0左右，羊肠衣口径1.8-2.2。""', '问题：""肠衣都烂了，有嘞还味道重"", 答案：""您拍照咱看下""', '问题：""你给我发的肠衣老多破洞的！！服了"", 答案：""天然肠衣，不敢保证没有孔，因为是人工从猪肠子上剥离的，在剥离的过程中，难免会有破损的亲。""']"
263,什么日期的？,"[{""role"":""user"",""content"":""什么日期的？""}]","亲,我们的产品都是新日期的呀,下单48小时内就会为您发货的,不用担心。","亲,我们的产品都是新日期的呀","22, 23","['问题：""什么日期的？"", 答案：""亲，我们的产品都是新日期的呀""', '问题：""生产日期"", 答案：""见包装袋""', '问题：""啥时候发"", 答案：""下单48小时内发货亲""', '问题：""什么时候到"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""这款猪肠衣是什么时候生产的？"", 答案：""都是新日期""']"
264,这个个有比例吗,"[{""role"":""user"",""content"":""这个个有比例吗""}]",亲，这个布丁粉的比例可以根据个人口味进行调整，一般建议是1:1的比例，但是也可以根据自己的喜好进行调整哦。,亲，这个布丁粉的比例可以根据个人口味进行调整，一般建议是1:6的比例，但是也可以根据自己的喜好进行调整哦。,"15, 18","['问题：""这个个有比例吗"", 答案：""亲，这个布丁粉的比例可以根据个人口味进行调整，一般建议是1:6的比例，但是也可以根据自己的喜好进行调整哦。""', '问题：""这个比例多少啊"", 答案：""1:6的""', '问题：""比例多少"", 答案：""1:6的亲""', '问题：""比例是多少的"", 答案：""1:6的""', '问题：""比例是多少"", 答案：""1:6""']"
265,我下单了，忘了备注,"[{""role"":""user"",""content"":""你好""},{""role"":""user"",""content"":""我要香芋和芒果味""},{""role"":""user"",""content"":""我下单了，忘了备注""}]",亲，没关系的，您可以在订单中备注一下哦。,好的亲。已备注哈,"18, 15","['问题：""你好刚下的单，没有备注你好，"", 答案：""什么口味亲""', '问题：""己下单了请帮备注"", 答案：""好的亲，已备注哦~""', '问题：""已经下单麻烦帮我备注"", 答案：""已备注亲""', '问题：""已经下单麻烦帮我备注"", 答案：""亲，已备注芒果和草莓各一斤哦~""', '问题：""下单了记得备注"", 答案：""亲，已备注哦~""']"
266,那不能用了是吧,"[{""role"":""user"",""content"":""在吗？""},{""role"":""assistant"",""content"":""亲,在的,有什么问题需要我帮忙吗？""},{""role"":""user"",""content"":""我年前买的没用,放在那以后还能用吗？""},{""role"":""assistant"",""content"":""冷藏保鲜一年左右的亲""},{""role"":""user"",""content"":""回来一直放在那没放冰箱,还能用吗？""},{""role"":""assistant"",""content"":""您好,亲,这款商品需要冷藏保鲜,如果一直放在那没放冰箱,可能会影响使用效果哦。""},{""role"":""user"",""content"":""那不能用了是吧""}]","亲,是的,如果一直放在那没放冰箱,可能会影响使用效果哦。",时间长不建议用了,23,"['问题：""那就是用不了"", 答案：""您先泡开试试，正常咱们都不建议冷冻储存的亲""', '问题：""之前买的那个一直没用，现在能不能退啊"", 答案：""咱家收到货七天无理由的""', '问题：""真的没法用了但是我申请的东西都直接到客服这里了 是怎么回事"", 答案：""亲，很抱歉给您带来不便，您可以申请退货退款，把商品寄回就可以的。""', '问题：""申请不了了"", 答案：""亲，这个我也没办法哦~可能是时间太久过了售后期了""', '问题：""<基础问题>能不能货到付款？"", 答案：""不支持""']"
267,"回来一直放在那没放冰箱,还能用吗？","[{""role"":""user"",""content"":""在吗？""},{""role"":""assistant"",""content"":""亲,在的,有什么问题需要我帮忙吗？""},{""role"":""user"",""content"":""我年前买的没用,放在那以后还能用吗？""},{""role"":""assistant"",""content"":""冷藏保鲜一年左右的亲""},{""role"":""user"",""content"":""回来一直放在那没放冰箱,还能用吗？""}]","您好,亲,这款商品需要冷藏保鲜,如果一直放在那没放冰箱,可能会影响使用效果哦。","您好,亲,这款商品需要冷藏保鲜,如果一直放在那没放冰箱,可能会影响使用效果哦。",23,"['问题：""刚刚拿回来拆开看了一下，是放冰箱冷藏还是保鲜呢"", 答案：""冷藏哦""', '问题：""送过来四天了在快递点还能用吗"", 答案：""可以的亲""', '问题：""不放冰箱都没事的？"", 答案：""亲几天应该没事的哈""', '问题：""<物流问题>能储存多长时间？"", 答案：""1年""', '问题：""之前买的那个一直没用，现在能不能退啊"", 答案：""咱家收到货七天无理由的""']"
268,在吗？,"[{""role"":""user"",""content"":""在吗？""}]","亲,在的,有什么问题需要我帮忙吗？","亲,在的,有什么问题需要我帮忙吗？",23,"['问题：""在不在？？"", 答案：""你好 在的亲""', '问题：""找了没有"", 答案：""抱歉亲 这边给您补偿1元棉线钱 可以用下家里的线""', '问题：""这个还有吗"", 答案：""能下单就是有的哈不能下单就是没有了哦""', '问题：""亲在吗几天到货"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""<基础问题>购物车显示满减为什么和下单页不一致"", 答案：""没有""']"
269,有人吗,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""有人吗""}]","在的亲,很高兴为您服务,请问有什么可以帮您？",你好 在的亲,"22,23","['问题：""你好在吗人呢"", 答案：""你好 在的亲""', '问题：""在吗老板"", 答案：""在的亲""', '问题：""在不在？？"", 答案：""你好 在的亲""', '问题：""这个吗"", 答案：""是的亲""', '问题：""这个还有吗"", 答案：""能下单就是有的哈不能下单就是没有了哦""']"
270,哪里发货啊,"[{""role"":""user"",""content"":""哪里发货啊""}]","亲,我们发货地在山东枣庄哦。","亲,我们发货地在山东枣庄哦。","22,23","['问题：""哪里发货"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""哪里发货？"", 答案：""山东枣庄发货的亲""', '问题：""哪里发货？"", 答案：""亲，我们是在山东枣庄发货的哦~""', '问题：""什么时候发货？哪里发货"", 答案：""亲，下单48小时内发货哦。""', '问题：""哪里发货从哪里发货？"", 答案：""亲，我们是在山东枣庄发货的哦~""']"
271,评价有红包吗,"[{""role"":""user"",""content"":""评价有红包吗""}]","亲,本店都是薄利多销,没啥利润的,如果您签收以后还满意的话,麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动,那可能是官方活动,不是本店活动,可以按照步骤要求提交试一下哦。","亲,如果说看到有评价有礼活动,那可能是官方活动,不是本店活动,可以按照步骤要求提交试一下哦。",23,"['问题：""评价有红包吗"", 答案：""亲，如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""', '问题：""<基础问题>有好评返现吗？"", 答案：""没有""', '问题：""点评给5角"", 答案：""亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦""', '问题：""返现吗"", 答案：""亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦""', '问题：""<基础问题>多买有优惠吗？"", 答案：""有优惠""']"
272,"我已拼单成功,能尽快帮我发货吗？还请注意这笔订单拼了3件哦！","[{""role"":""user"",""content"":""我已拼单成功,能尽快帮我发货吗？还请注意这笔订单拼了3件哦！""}]","亲亲,我们会尽快为您安排发货哦~",下单48小时内发货亲,23,"['问题：""我已拼单成功，能尽快帮我发货吗？亲请尽快安排发货"", 答案：""亲亲，我们会尽快为您发货，谢谢您的耐心等待。""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""好吧加急加急加急！安排发货吧我已找拼多多催促发货，请尽快帮我发货"", 答案：""亲，我们会尽快为您安排发货的哦[玫瑰]""', '问题：""又下单了，能给一起发货吗"", 答案：""亲 具体看仓库发货""', '问题：""我什么时候能收到我购买的商品？"", 答案：""亲您下单后我们会尽快发货的哦[玫瑰]""']"
273,三十斤的能有几包,"[{""role"":""user"",""content"":""怎么是这种包装""},{""role"":""assistant"",""content"":""亲 具体的包装以您收到为准 图片只是参考""},{""role"":""user"",""content"":""三十斤的能有几包""}]","亲,一般来说灌30斤是3包肠衣哦。",亲 有5斤 10斤两种包装 随机发的哦,"22,23","['问题：""三十斤的能有几包"", 答案：""亲 有5斤 10斤两种包装 随机发的哦""', '问题：""30斤的是几包？"", 答案：""正常是十斤一包""', '问题：""一包能灌几斤"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""5.29一包的是灌多少斤的？"", 答案：""五斤的亲""', '问题：""30斤的包装是一袋装的吗"", 答案：""亲，30斤的包装是3袋装的哦。""']"
274,在人工这个肠衣是几路的,"[{""role"":""user"",""content"":""在人工""},{""role"":""user"",""content"":""在人工这个肠衣是几路的""}]","亲,这个肠衣是8路的哦~","亲,这个肠衣是8路的哦~","22,23","['问题：""肠衣是几路的"", 答案：""8路""', '问题：""肠衣几路的？"", 答案：""八路的""', '问题：""肠衣是几路的能做风干肠吗"", 答案：""八路的 蒸煮煎炸，还是风干，根据您个人哦亲""', '问题：""肠衣有几包？"", 答案：""亲 您收到几包""', '问题：""这个肠衣有匀条点的吗"", 答案：""没有长短的规格哦，都是天然猪小肠，没办法保证长短粗细哦""']"
275,你这也没有50斤的选项啊,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""36斤肉买多少肠衣""},{""role"":""assistant"",""content"":""亲,36斤肉建议拍50斤的选项哦~""},{""role"":""user"",""content"":""你这也没有50斤的选项啊""}]","亲,可以分开拍哦~","亲,可以分开拍哦~","22,23","['问题：""哦但是就这一种选法呀没有10斤装"", 答案：""两种包装随机发的哦""', '问题：""选项里没有40斤啊是买两个20也送吗"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""你这个10斤不对呀"", 答案：""亲 这边核实下""', '问题：""我想灌十斤肉得用买多少肠衣？你这个料啥都有吗？"", 答案：""亲 建议20斤哦""', '问题：""分开拍不贵吗"", 答案：""亲 或者拍2份20斤的选项""']"
276,36斤肉买多少肠衣,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""36斤肉买多少肠衣""}]","亲,36斤肉建议拍50斤的选项哦~","亲,36斤肉建议拍50斤的选项哦~","22,23","['问题：""一包肠衣灌几斤肉啊"", 答案：""亲，5斤一包肠衣可以灌5斤左右肉，10斤装的可以灌8-10斤肉，根据个人手法会有所不同哦。""', '问题：""买这个肠衣能灌几斤肉啊？"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""100g肠衣能灌多少肉"", 答案：""亲 不清楚哦""', '问题：""60斤肉用多少斤肠衣是猪肠衣吗？"", 答案：""亲这个根据个人手法的哦建议可以多买一些哦""', '问题：""一袋肠衣能做几斤肉"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""']"
277,"还没有,在我们市场这买的好吃,昨天刚尝了","[{""role"":""user"",""content"":""还差一半30斤肉才关了15斤""},{""role"":""user"",""content"":""老板买的你家的这个料""},{""role"":""user"",""content"":""之前灌肠的时候皮都不够""},{""role"":""user"",""content"":""这为什么灌了之后这么难吃？""},{""role"":""user"",""content"":""服了""},{""role"":""assistant"",""content"":""保证质量的哈亲""},{""role"":""user"",""content"":""还没有,在我们市场这买的好吃,昨天刚尝了""}]","亲,我们的肉都是新鲜采购的,口感很好哦。",每个人口味不一样的哦,23,"['问题：""好的  味道还行  昨天尝了一根"", 答案：""感谢支持""', '问题：""我买过了挺好"", 答案：""好的 亲 感谢支持""', '问题：""<品质问题>吃起来觉得不新鲜"", 答案：""个人口味问题，不支持退货、退款""', '问题：""你好，我以前不是在你家买的。我是在这个店买的。"", 答案：""亲 这边不清楚哦""', '问题：""这个商品如何保存最好？"", 答案：""冷藏保鲜一年左右的亲""']"
278,不好意思,"[{""role"":""user"",""content"":""店家  我不是买了两份吗""},{""role"":""user"",""content"":""怎么就一份""},{""role"":""assistant"",""content"":""亲,这边帮您联系快递核重,您稍等""},{""role"":""user"",""content"":""对不起   是两份[流泪]""},{""role"":""user"",""content"":""看错了""},{""role"":""assistant"",""content"":""好的""},{""role"":""user"",""content"":""不好意思""}]","亲,我们这边已经为您联系快递核重了,您稍等一下哦。",没事哈亲,23,"['问题：""这个是坏的"", 答案：""抱歉亲""', '问题：""那我不问你就不联系我吗"", 答案：""抱歉亲亲""', '问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""']"
279,在锅里煮,"[{""role"":""user"",""content"":""在吗""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""这种肠衣可以灌淀粉肠吗""},{""role"":""assistant"",""content"":""可以的""},{""role"":""user"",""content"":""在锅里煮""}]","亲,不建议煮哦,建议风干或者蒸煮,根据个人口感哦~",可以,"22,23","['问题：""这个煮的时候不坏吧"", 答案：""不会的亲""', '问题：""不能用水煮？"", 答案：""灌好的吗""', '问题：""食用方法"", 答案：""冷水清洗3-4次，浸泡30分钟即可""', '问题：""那有时都煮爆了"", 答案：""扎孔风干后蒸煮亲。水开以后小火蒸煮30分钟哈""', '问题：""冷水下锅吗？"", 答案：""亲亲建议蒸的哈""']"
280,这种肠衣可以灌淀粉肠吗,"[{""role"":""user"",""content"":""在吗""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""这种肠衣可以灌淀粉肠吗""}]","亲,这款肠衣可以用来灌淀粉肠哦。",可以的,"22,23","['问题：""这种肠衣是不是灌什么肠都以淀粉肠可以吗"", 答案：""香肠哈亲""', '问题：""肠衣可以做淀粉肠吗"", 答案：""亲 可以""', '问题：""能灌淀粉肠吗"", 答案：""亲，肠衣主要是用来灌制香肠的哈。""', '问题：""这个肠衣能灌红肠吗"", 答案：""亲，这款肠衣可以用来灌红肠哦。它是天然肠衣""', '问题：""这个肠衣可以灌蒜肠嘛"", 答案：""亲，这款肠衣适合灌制蒜肠哦，口感很好呢。""']"
281,发的太晚了    天气热了    我是年前订的,"[{""role"":""user"",""content"":""台湾风味  的辣不辣""},{""role"":""user"",""content"":""你好""},{""role"":""assistant"",""content"":""微甜的亲 台湾""},{""role"":""user"",""content"":""我的货你们发了吗""},{""role"":""user"",""content"":""对的""},{""role"":""user"",""content"":""是的""},{""role"":""assistant"",""content"":""好的""},{""role"":""user"",""content"":""发的太晚了    天气热了    我是年前订的""}]","亲,我们会尽快发货的,具体以快递时效为准哦。",好的 我联系退回了,"22,23","['问题：""为什么我所在的地区无法下单？"", 答案：""无法下单就是目前您所在地区停发了亲""', '问题：""但是不好用啊.亲我想退货退款"", 答案：""实在抱歉呢亲这个时间太久了我这边看不到订单了""', '问题：""天热了，不可以"", 答案：""可以放在阴凉处哈建议风干几天哦""', '问题：""我才发现地址填错了[大哭]已经在派送中了"", 答案：""亲可以把地址给我一下，这边尽量更改如果成功的话不保证年前送达哈。""', '问题：""[擦汗]我也服了洗破了几条那个，也没来得及拍我十二月份买的买回来就没用"", 答案：""亲 您的订单已经超售后期了""']"
282,"好,那你确定是那就行,还有就是我想问一下咱们黑胡椒口味的,是用添加剂调出来的吗？还是里边本身就有黑胡椒呢？","[{""role"":""user"",""content"":""你看一下这个配料表我都没看见黑胡椒。""},{""role"":""user"",""content"":""我已经到完了。""},{""role"":""assistant"",""content"":""口味在背面""},{""role"":""user"",""content"":""然后我就想确定一下,这是黑胡椒口味的吗？反正闻不到。""},{""role"":""user"",""content"":""然后我自己往里头又放了一些黑胡椒,就是怕味道出来不好。""},{""role"":""assistant"",""content"":""可以的""},{""role"":""user"",""content"":""好,那你确定是那就行,还有就是我想问一下咱们黑胡椒口味的,是用添加剂调出来的吗？还是里边本身就有黑胡椒呢？""}]","亲,我们的黑胡椒口味的零食是本身就有黑胡椒的,不添加任何添加剂哦~",这个不清楚,23,"['问题：""好，那你确定是那就行，还有就是我想问一下咱们黑胡椒口味的，是用添加剂调出来的吗？还是里边本身就有黑胡椒呢？"", 答案：""只有调料本身的味道亲，具体配料表可以参考评论区实物图哈""', '问题：""黑胡椒和五香的吧"", 答案：""已备注""', '问题：""调料要黑胡椒和蒜香的！请帮忙备注一下！谢谢不要辣啊！"", 答案：""好的，已备注""', '问题：""都要什么风味呀"", 答案：""可以看下订单选项中，有标准调料口味，选项两种发给客服备注哈""', '问题：""湿湿的，是什么感觉像防腐剂"", 答案：""亲。零添加剂的，咱们是用盐腌制后发货的哈""']"
283,"然后我自己往里头又放了一些黑胡椒,就是怕味道出来不好。","[{""role"":""user"",""content"":""你看一下这个配料表我都没看见黑胡椒。""},{""role"":""user"",""content"":""我已经到完了。""},{""role"":""assistant"",""content"":""口味在背面""},{""role"":""user"",""content"":""然后我就想确定一下,这是黑胡椒口味的吗？反正闻不到。""},{""role"":""user"",""content"":""然后我自己往里头又放了一些黑胡椒,就是怕味道出来不好。""}]","亲,您自己放的黑胡椒味道会更好哦~",可以的,23,"['问题：""调料要不辣的哈"", 答案：""您可以选择口味帮您备注亲""', '问题：""我要黑胡椒和原味我刚刚下的单"", 答案：""好的亲""', '问题：""好，那你确定是那就行，还有就是我想问一下咱们黑胡椒口味的，是用添加剂调出来的吗？还是里边本身就有黑胡椒呢？"", 答案：""只有调料本身的味道亲，具体配料表可以参考评论区实物图哈""', '问题：""黑胡椒和五香的吧"", 答案：""已备注""', '问题：""调料是随机的吗？我可以自己要吗？要五香和麻辣的"", 答案：""亲 已备注""']"
284,能放一年？,"[{""role"":""user"",""content"":""这个肠衣能冻吗？""},{""role"":""assistant"",""content"":""亲,不建议冷冻哦,冷藏保鲜一年左右的亲。""},{""role"":""user"",""content"":""能放一年？""}]","亲,这款肠衣的储存条件是冷藏保鲜哦,一般可以保存一年左右呢。","亲,这款肠衣的储存条件是冷藏保鲜哦,一般可以保存一年左右呢。","22,23","['问题：""好的保质期是一年吗？"", 答案：""对的""', '问题：""上面不是写三年吗那我现在买的可以放到明年是吗"", 答案：""亲 建议一年用完哦""', '问题：""亲，这个好放吗？能放多长时间"", 答案：""亲，这款肠衣的储存条件是冷藏保鲜哦，一般可以保存一年左右呢""', '问题：""<运营问题>保质期多久？"", 答案：""1年""', '问题：""<物流问题>能储存多长时间？"", 答案：""1年""']"
285,这个肠衣能冻吗？,"[{""role"":""user"",""content"":""这个肠衣能冻吗？""}]","亲,不建议冷冻哦,冷藏保鲜一年左右的亲。","亲,不建议冷冻哦,冷藏保鲜一年左右的亲。","22,23","['问题：""肠衣可以冷冻保存吗"", 答案：""不建议亲，冷冻后拿出来肠衣容易断哦  放冷藏保鲜一年左右的亲""', '问题：""肠衣能放冰箱冷冻不哦"", 答案：""嗯嗯""', '问题：""这肠子要放冷冻吗这肠衣要放冷冻吗"", 答案：""冷藏保鲜一年左右的亲""', '问题：""这个肠衣能吃吗"", 答案：""亲，可以食用的""', '问题：""好，冷冻了是不是就不能用了肠衣"", 答案：""冷冻以后容易断，建议保鲜冷藏""']"
286,"好的,谢谢。这就拍","[{""role"":""user"",""content"":""你好,现在能做吗？""},{""role"":""assistant"",""content"":""您是哪里的""},{""role"":""user"",""content"":""做完得烤箱烤吗？河南安阳的""},{""role"":""assistant"",""content"":""可以的 亲""},{""role"":""user"",""content"":""好的""},{""role"":""assistant"",""content"":""[玫瑰]""},{""role"":""user"",""content"":""你们的料包放进去就什么也不用放了吗？""},{""role"":""user"",""content"":""好的,谢谢。这就拍""}]","好的,谢谢。这就拍",不客气,23,"['问题：""嗯，处理完我好从拍"", 答案：""好的""', '问题：""好的，谢谢好的"", 答案：""客气了亲""', '问题：""我买过了挺好"", 答案：""好的 亲 感谢支持""', '问题：""哦哦好的谢谢"", 答案：""好的，谢谢您的支持哦~""', '问题：""嗯嗯我要拍40斤的"", 答案：""亲 可以分开拍下""']"
287,做完得烤箱烤吗？河南安阳的,"[{""role"":""user"",""content"":""你好,现在能做吗？""},{""role"":""assistant"",""content"":""您是哪里的""},{""role"":""user"",""content"":""做完得烤箱烤吗？河南安阳的""}]","您好,这个商品需要烤箱烤制哦。",可以的 亲,23,"['问题：""对"", 答案：""建议蒸熟的哈""', '问题：""制作流程有吗"", 答案：""有的亲""', '问题：""这个商品如何保存最好？"", 答案：""冷藏保鲜一年左右的亲""', '问题：""不用蒸熟吧扔了吃的时候再蒸就行吧"", 答案：""亲，灌好以后直接扎孔风干就可以啦~什么时候吃什么时候蒸煮哈，小火蒸煮30分钟左右就可以的""', '问题：""用肉馅还是肉块啊"", 答案：""亲，用肉馅还是肉块都可以哦 肉块也不要切太大""']"
288,要多久,"[{""role"":""user"",""content"":""站点没跟我联系哦""},{""role"":""user"",""content"":""是的""},{""role"":""user"",""content"":""要多久""},{""role"":""user"",""content"":""我后面下单的都要收到了""},{""role"":""user"",""content"":""上一单还没解决""},{""role"":""assistant"",""content"":""亲 我们催下快递尽快核实""},{""role"":""user"",""content"":""要多久""}]","亲,发货时间是下单后48小时内哦,具体到货时间还需看具体情况呢~",亲 快递回复我们后会第一时间给您留言的哦,23,"['问题：""需要时间是多久"", 答案：""亲 您的订单时间比较长 核实也会比较麻烦 快递核实后会与您联系。""', '问题：""你好多久到 急着用"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""啥时候发"", 答案：""下单48小时内发货亲""', '问题：""快点"", 答案：""下单48小时内发货亲""', '问题：""什么时候发货？大约几天能到我这里人工"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""']"
289,我不要工具可以只退工具不退肠衣吗,"[{""role"":""user"",""content"":""有运费险吗""},{""role"":""assistant"",""content"":""有的呢亲亲""},{""role"":""user"",""content"":""我不要工具可以只退工具不退肠衣吗""}]","亲,您只需要退工具就可以了,肠衣可以不用退哦。",不支持哦 亲,23,"['问题：""工具我想退了不好使啊.亲"", 答案：""亲您这个时间太久了过了售后期了哈""', '问题：""不要了给我退一下"", 答案：""好的，后续会有退款专员处理退款亲""', '问题：""你好我这个东西都没用都没拆开呢能退回去吗"", 答案：""亲可以申请试下哈""', '问题：""我买的好多种，不要工具能优惠吗家里有工具了"", 答案：""亲，只能根据选项下单哈""', '问题：""这个运费咋处理的"", 答案：""咱们是退货包运费的""']"
290,有运费险吗,"[{""role"":""user"",""content"":""有运费险吗""}]","有的呢亲亲,退货有运费险哦~",有的呢亲亲,23,"['问题：""<物流问题>有运费险吗？"", 答案：""有""', '问题：""<退换问题>退换货邮费谁承担"", 答案：""有运费险""', '问题：""<基础问题>运费险怎么理赔？"", 答案：""审核通过，自动理赔""', '问题：""运费谁掏？"", 答案：""包邮退的哈""', '问题：""这个运费咋处理的"", 答案：""咱们是退货包运费的""']"
291,肠衣泡久点没事吧,"[{""role"":""user"",""content"":""肠衣泡久点没事吧""}]","亲,肠衣泡久点是可以的,但是不建议泡超过24小时哦。","亲,肠衣泡久点是可以的,但是不建议泡超过24小时哦。",23,"['问题：""购买后的产品需要全部一次使用完吗？"", 答案：""您可以先泡一些的  不够在泡  用不完还可以储存 用水泡过的肠衣没用完可以用盐腌制起来 然后沥干水分 后食品袋包好放冰箱冷藏保鲜就可以了亲 没泡过的直接冷藏保鲜就可以""', '问题：""这个这回泡不开呢根本穿不上去呢特别硬不起"", 答案：""亲，可以多泡一会哈""', '问题：""不放冰箱都没事的？"", 答案：""亲几天应该没事的哈""', '问题：""商品有异味怎么处理？"", 答案：""因为是天然的肠衣，肠衣会自带一点淡淡的腥味哦，香肠做熟以后是没有腥味的，泡的时候也可以加白酒去腥味""', '问题：""这沙眼是不是太大了"", 答案：""天然猪小肠衣会自带沙眼洞的亲。可以有助于排气，不影响食用的哈""']"
292,肠衣像纸一样。,"[{""role"":""user"",""content"":""你这啥肠衣,灌的肠和肉和肠衣全是离的。""},{""role"":""assistant"",""content"":""亲,我们的肠衣是天然肠衣""},{""role"":""user"",""content"":""肠衣像纸一样。""}]","亲,我们的肠衣是天然肠衣,不会像纸一样。","亲,天然猪小肠哈人工剥离的",23,[]
293,"你这啥肠衣,灌的肠和肉和肠衣全是离的。","[{""role"":""user"",""content"":""你这啥肠衣,灌的肠和肉和肠衣全是离的。""}]","亲,我们的肠衣是天然肠衣,灌肠和肉是分开的,这样可以保证肠衣的口感和品质哦。","亲,我们的肠衣是天然肠衣",23,"['问题：""就是这个里面的肉推不进去之前买的一直没用"", 答案：""亲 咱们灌肠器是灌肉馅的哈。如果是肉粒灌肠可能会没有那么顺畅的""', '问题：""罐不了10斤，你规格正10斤"", 答案：""亲，正常灌10斤的肠衣可以灌8-10斤左右哈，根据个人手法可能会存在误差""', '问题：""你那个灌出来很小"", 答案：""拍照咱看下""', '问题：""<品质问题>食用后腹泻"", 答案：""看个人体质""', '问题：""个人手法可以接受有误差，但是你这个基本相差一半，误差会有这么大吗平台已退出介入，您可继续聊天"", 答案：""亲，因为有人灌的紧，有人灌的肉松""']"
